 Feb 25    Feb 26    Feb 27     Feb 28    March1
1.8     9.1        19.6        21.4           18.1
-5.1     7.5        20.7        19.0           17.6
-8.5     5.9        19.6        18.3           16.9
-8.7     4.8        16.9        17.4           16.7
-10.7     3.2        19.2        17.4           16.5
-10.8     3.7        19.9        16.3           16.2
-11.9     4.5        19.4        15.4           16.0
-11.2     5.7        13.1        15.4           15.8
-12.6     7.5        13.5        14.7           14.7
-11.9     8.1        12.4        13.6           14.4
-13.4     9.0        11.7        10.2           12.7
-9.6     10.6        11.7        11.1           10.9
-9.8     13.6        12.0        13.5           9.5
-9.4     14.2        19.6        15.6           9.1
-5.3     18.5        22.6        17.2           11.8
0.0     21.2        23.9        20.1           13.3
2.8     22.6        24.8        22.1           15.1
7.2     24.3        25.5        22.3           16.2
9.0     25.2        25.2        22.3           17.6
11.3     24.4        25.0        22.5           18.3
13.8     24.8        23.9        20.8           18.7
12.7     24.3        23.3        20.0           19.0
13.1     23.0        22.0        18.9           19.6
