Feb 25    Feb 26    Feb 27     Feb 28     March1
-4.04     4.85        15.12        16.46           18.10
-10.13     2.97        12.33        14.12           14.85
-14.02     0.93        11.11        11.34           13.18
-17.26     -1.65        10.53        8.99           13.89
-20.16     -3.14        11.39        7.75           14.02
-21.78     -3.58        10.66        9.06           12.13
-22.57     -3.99        9.29        7.59           10.65
-23.18     -3.21        7.22        5.15           9.39
-23.13     -0.76        4.58        2.90           8.42
-23.90     1.79        1.84        0.26           8.57
-26.05     3.49        -0.71        -1.45           7.59
-28.97     3.77        -2.54        -3.24           3.95
-30.35     4.17        -1.93        -4.47           1.00
-30.06     5.50        -0.83        -4.78           -0.90
-25.83     11.78        1.77        0.11           2.27
-15.73     18.72        5.11        6.03           5.14
-6.66     22.73        8.01        11.12           7.80
-1.32     24.34        12.07        15.85           9.94
2.55     24.96        15.90        18.16           12.34
4.55     25.25        18.51        18.71           14.23
6.11     25.40        20.85        19.35           15.18
7.29     25.43        22.26        19.63           15.85
6.47     24.27        21.54        19.74           16.05
