TAS          Heading      Beta         Ground_X     Ground_Y
[m/s]        [degrees]    [degrees]    [m/s]        [m/s]   
 90.00000000   1.00000000   1.00000000  13.14095470  89.94517443
 90.00000000   2.00000000   1.00000000  14.71023606  89.87665813
 90.00000000   3.00000000   1.00000000  16.27808264  89.78076452
 90.00000000   4.00000000   1.00000000  17.84401685  89.65752283
 90.00000000   5.00000000   1.00000000  19.40756169  89.50697058
 90.00000000   6.00000000   1.00000000  20.96824091  89.32915365
 90.00000000   7.00000000   1.00000000  22.52557909  89.12412619
 90.00000000   8.00000000   1.00000000  24.07910185  88.89195065
 90.00000000   9.00000000   1.00000000  25.62833599  88.63269777
 90.00000000  10.00000000   1.00000000  27.17280958  88.34644651
 90.00000000  11.00000000   1.00000000  28.71205217  88.03328407
 90.00000000  12.00000000   1.00000000  30.24559489  87.69330583
 90.00000000  13.00000000   1.00000000  31.77297060  87.32661536
 90.00000000  14.00000000   1.00000000  33.29371406  86.93332437
 90.00000000  15.00000000   1.00000000  34.80736202  86.51355263
 90.00000000  16.00000000   1.00000000  36.31345343  86.06742804
 90.00000000  17.00000000   1.00000000  37.81152949  85.59508647
 90.00000000  18.00000000   1.00000000  39.30113390  85.09667180
 90.00000000  19.00000000   1.00000000  40.78181290  84.57233587
 90.00000000  20.00000000   1.00000000  42.25311546  84.02223838
 90.00000000  21.00000000   1.00000000  43.71459341  83.44654691
 90.00000000  22.00000000   1.00000000  45.16580156  82.84543681
 90.00000000  23.00000000   1.00000000  46.60629788  82.21909119
 90.00000000  24.00000000   1.00000000  48.03564356  81.56770083
 90.00000000  25.00000000   1.00000000  49.45340321  80.89146417
 90.00000000  26.00000000   1.00000000  50.85914498  80.19058718
 90.00000000  27.00000000   1.00000000  52.25244065  79.46528336
 90.00000000  28.00000000   1.00000000  53.63286582  78.71577364
 90.00000000  29.00000000   1.00000000  55.00000000  77.94228634
 90.00000000  30.00000000   1.00000000  56.35342674  77.14505706
 90.00000000  31.00000000   1.00000000  57.69273378  76.32432865
 90.00000000  32.00000000   1.00000000  59.01751315  75.48035112
 90.00000000  33.00000000   1.00000000  60.32736131  74.61338153
 90.00000000  34.00000000   1.00000000  61.62187927  73.72368399
 90.00000000  35.00000000   1.00000000  62.90067271  72.81152949
 90.00000000  36.00000000   1.00000000  64.16335208  71.87719590
 90.00000000  37.00000000   1.00000000  65.40953278  70.92096782
 90.00000000  38.00000000   1.00000000  66.63883519  69.94313653
 90.00000000  39.00000000   1.00000000  67.85088487  68.94399988
 90.00000000  40.00000000   1.00000000  69.04531261  67.92386222
 90.00000000  41.00000000   1.00000000  70.22175457  66.88303429
 90.00000000  42.00000000   1.00000000  71.37985241  65.82183315
 90.00000000  43.00000000   1.00000000  72.51925334  64.74058203
 90.00000000  44.00000000   1.00000000  73.63961031  63.63961031
 90.00000000  45.00000000   1.00000000  74.74058203  62.51925334
 90.00000000  46.00000000   1.00000000  75.82183315  61.37985241
 90.00000000  47.00000000   1.00000000  76.88303429  60.22175457
 90.00000000  48.00000000   1.00000000  77.92386222  59.04531261
 90.00000000  49.00000000   1.00000000  78.94399988  57.85088487
 90.00000000  50.00000000   1.00000000  79.94313653  56.63883519
 90.00000000  51.00000000   1.00000000  80.92096782  55.40953278
 90.00000000  52.00000000   1.00000000  81.87719590  54.16335208
 90.00000000  53.00000000   1.00000000  82.81152949  52.90067271
 90.00000000  54.00000000   1.00000000  83.72368399  51.62187927
 90.00000000  55.00000000   1.00000000  84.61338153  50.32736131
 90.00000000  56.00000000   1.00000000  85.48035112  49.01751315
 90.00000000  57.00000000   1.00000000  86.32432865  47.69273378
 90.00000000  58.00000000   1.00000000  87.14505706  46.35342674
 90.00000000  59.00000000   1.00000000  87.94228634  45.00000000
 90.00000000  60.00000000   1.00000000  88.71577364  43.63286582
 90.00000000  61.00000000   1.00000000  89.46528336  42.25244065
 90.00000000  62.00000000   1.00000000  90.19058718  40.85914498
 90.00000000  63.00000000   1.00000000  90.89146417  39.45340321
 90.00000000  64.00000000   1.00000000  91.56770083  38.03564356
 90.00000000  65.00000000   1.00000000  92.21909119  36.60629788
 90.00000000  66.00000000   1.00000000  92.84543681  35.16580156
 90.00000000  67.00000000   1.00000000  93.44654691  33.71459341
 90.00000000  68.00000000   1.00000000  94.02223838  32.25311546
 90.00000000  69.00000000   1.00000000  94.57233587  30.78181290
 90.00000000  70.00000000   1.00000000  95.09667180  29.30113390
 90.00000000  71.00000000   1.00000000  95.59508647  27.81152949
 90.00000000  72.00000000   1.00000000  96.06742804  26.31345343
 90.00000000  73.00000000   1.00000000  96.51355263  24.80736202
 90.00000000  74.00000000   1.00000000  96.93332437  23.29371406
 90.00000000  75.00000000   1.00000000  97.32661536  21.77297060
 90.00000000  76.00000000   1.00000000  97.69330583  20.24559489
 90.00000000  77.00000000   1.00000000  98.03328407  18.71205217
 90.00000000  78.00000000   1.00000000  98.34644651  17.17280958
 90.00000000  79.00000000   1.00000000  98.63269777  15.62833599
 90.00000000  80.00000000   1.00000000  98.89195065  14.07910185
 90.00000000  81.00000000   1.00000000  99.12412619  12.52557909
 90.00000000  82.00000000   1.00000000  99.32915365  10.96824091
 90.00000000  83.00000000   1.00000000  99.50697058   9.40756169
 90.00000000  84.00000000   1.00000000  99.65752283   7.84401685
 90.00000000  85.00000000   1.00000000  99.78076452   6.27808264
 90.00000000  86.00000000   1.00000000  99.87665813   4.71023606
 90.00000000  87.00000000   1.00000000  99.94517443   3.14095470
 90.00000000  88.00000000   1.00000000  99.98629256   1.57071658
 90.00000000  89.00000000   1.00000000 100.00000000   0.00000000
 90.00000000  90.00000000   1.00000000  99.98629256  -1.57071658
 90.00000000  91.00000000   1.00000000  99.94517443  -3.14095470
 90.00000000  92.00000000   1.00000000  99.87665813  -4.71023606
 90.00000000  93.00000000   1.00000000  99.78076452  -6.27808264
 90.00000000  94.00000000   1.00000000  99.65752283  -7.84401685
 90.00000000  95.00000000   1.00000000  99.50697058  -9.40756169
 90.00000000  96.00000000   1.00000000  99.32915365 -10.96824091
 90.00000000  97.00000000   1.00000000  99.12412619 -12.52557909
 90.00000000  98.00000000   1.00000000  98.89195065 -14.07910185
 90.00000000  99.00000000   1.00000000  98.63269777 -15.62833599
 90.00000000 100.00000000   1.00000000  98.34644651 -17.17280958
 90.00000000 101.00000000   1.00000000  98.03328407 -18.71205217
 90.00000000 102.00000000   1.00000000  97.69330583 -20.24559489
 90.00000000 103.00000000   1.00000000  97.32661536 -21.77297060
 90.00000000 104.00000000   1.00000000  96.93332437 -23.29371406
 90.00000000 105.00000000   1.00000000  96.51355263 -24.80736202
 90.00000000 106.00000000   1.00000000  96.06742804 -26.31345343
 90.00000000 107.00000000   1.00000000  95.59508647 -27.81152949
 90.00000000 108.00000000   1.00000000  95.09667180 -29.30113390
 90.00000000 109.00000000   1.00000000  94.57233587 -30.78181290
 90.00000000 110.00000000   1.00000000  94.02223838 -32.25311546
 90.00000000 111.00000000   1.00000000  93.44654691 -33.71459341
 90.00000000 112.00000000   1.00000000  92.84543681 -35.16580156
 90.00000000 113.00000000   1.00000000  92.21909119 -36.60629788
 90.00000000 114.00000000   1.00000000  91.56770083 -38.03564356
 90.00000000 115.00000000   1.00000000  90.89146417 -39.45340321
 90.00000000 116.00000000   1.00000000  90.19058718 -40.85914498
 90.00000000 117.00000000   1.00000000  89.46528336 -42.25244065
 90.00000000 118.00000000   1.00000000  88.71577364 -43.63286582
 90.00000000 119.00000000   1.00000000  87.94228634 -45.00000000
 90.00000000 120.00000000   1.00000000  87.14505706 -46.35342674
 90.00000000 121.00000000   1.00000000  86.32432865 -47.69273378
 90.00000000 122.00000000   1.00000000  85.48035112 -49.01751315
 90.00000000 123.00000000   1.00000000  84.61338153 -50.32736131
 90.00000000 124.00000000   1.00000000  83.72368399 -51.62187927
 90.00000000 125.00000000   1.00000000  82.81152949 -52.90067271
